sal_code_2021,suburb,population_2021
SAL30539,Carina Heights,7103
SAL30540,Carindale,16535
SAL50262,Carine,7330
SAL10814,Caringbah,12575
SAL10815,Caringbah South,13168
SAL20492,Carisbrook,1192
SAL10817,Carlingford,28044
SAL50263,Carlisle,6733
SAL10818,Carlton (NSW),10631
SAL60099,Carlton (Tas.),1363
SAL20495,Carlton (Vic.),16055
SAL20496,Carlton North,6177
SAL20498,Carnegie,17909
SAL10819,Carnes Hill,3332
SAL20500,Caroline Springs,24488
SAL10825,Carramar (NSW),3475
SAL50269,Carramar (WA),7178
SAL30550,Carrara,13138
SAL10829,Carrington (Newcastle - NSW),2061
SAL20507,Carrum,4239
SAL20508,Carrum Downs,21976
SAL30553,Carseldine,10093
SAL10836,Carss Park,1265
SAL10837,Cartwright,2616
SAL10840,Carwoola,1602
SAL80033,Casey,6471
SAL30556,Cashmere,4970
SAL10842,Casino,10930
SAL20513,Casterton,1673
SAL10844,Castle Cove,2643
SAL10846,Castle Hill (NSW),40874
SAL10848,Castlecrag,2965
SAL20516,Castlemaine,7506
SAL10849,Castlereagh,1248
SAL50273,Castletown,3968
SAL10850,Casuarina (NSW),3256
SAL50274,Casuarina (WA),1987
SAL10851,Casula,16584
SAL10852,Catalina,2522
SAL10855,Catherine Field,2609
SAL10858,Cattai,1077
SAL20521,Caulfield,5748
SAL20522,Caulfield East,1293
SAL20523,Caulfield North,16903
SAL20524,Caulfield South,12328
SAL50277,Caversham,7419
SAL10861,Caves Beach,4016
SAL10864,Cecil Hills,6906
SAL30569,Cedar Grove,1992
SAL30571,Cedar Vale,2856
SAL40237,Ceduna,1955
SAL30574,Centenary Heights,6152
SAL10872,Centennial Park (NSW),2225
SAL10877,Cessnock,16300
SAL20528,Chadstone,9552
SAL10879,Chain Valley Bay,2773
SAL30577,Chambers Flat,2718
SAL50281,Champion Lakes,1355
SAL30579,Chandler (Qld),1475
SAL30580,Chapel Hill (Qld),10511
SAL80034,Chapman,2867
SAL20533,Charlemont,2612
SAL10884,Charlestown (NSW),13601
SAL30582,Charleville,2992
SAL20535,Charlton (Vic.),1095
SAL10888,Charmhaven,2501
SAL80035,Charnwood,3055
SAL30585,Charters Towers City,2219
SAL10891,Chatswood,25553
SAL10892,Chatswood West,1521
SAL30586,Chatsworth (Qld),1353
SAL30588,Chelmer,3325
SAL20537,Chelsea,8347
SAL20538,Chelsea Heights,5393
SAL10895,Cheltenham (NSW),2166
SAL40248,Cheltenham (SA),2236
SAL20539,Cheltenham (Vic.),23992
SAL30592,Cherbourg,1194
SAL30593,Chermside,11426
SAL30594,Chermside West,6965
SAL10897,Cherrybrook,19082
SAL10898,Chester Hill,14007
SAL50290,Chidlow,1821
SAL80036,Chifley (ACT),2680
SAL10900,Chifley (NSW),3490
SAL60110,Chigwell,2050
